Date,TempAvgF,Year,Month,DayOfYear,inflection,DayOfYear2
2014-02-17,70,2014,2,59,1,0.16094082999888235
2014-02-18,69,2014,2,60,1,0.16364423371189768
2014-02-19,73,2014,2,61,1,0.16634640909591059
2014-02-20,70,2014,2,62,1,0.16904733586813858
2014-02-21,57,2014,2,63,1,0.1717469937551714
2014-02-22,63,2014,2,64,1,0.17444536249312315
2014-02-23,74,2014,2,65,1,0.17714242182778436
2014-02-24,66,2014,2,66,1,0.17983815151477422
2014-02-25,62,2014,2,67,1,0.1825325313196922
2014-02-26,44,2014,2,68,1,0.18522554101827018
2014-02-27,45,2014,2,69,1,0.1879171603965242
2014-02-28,62,2014,2,70,1,0.19060736925090618
2014-03-01,68,2014,3,71,1,0.1932961473884556
2014-03-02,51,2014,3,72,1,0.19598347462695087
2014-03-03,36,2014,3,73,1,0.19866933079506122
2014-03-04,40,2014,3,74,1,0.20135369573249767
2014-03-05,46,2014,3,75,1,0.20403654929016468
2014-03-06,54,2014,3,76,1,0.20671787133031128
2014-03-07,53,2014,3,77,1,0.20939764172668204
2014-03-08,52,2014,3,78,1,0.21207584036466856
2014-03-09,49,2014,3,79,1,0.21475244714146
2014-03-10,61,2014,3,80,1,0.21742744196619432
2014-03-11,70,2014,3,81,1,0.2201008047601089
2014-03-12,60,2014,3,82,1,0.22277251545669122
2014-03-13,52,2014,3,83,1,0.2254425540018297
2014-03-14,62,2014,3,84,1,0.22811090035396392
2014-03-15,68,2014,3,85,1,0.23077753448423538
2014-03-16,56,2014,3,86,1,0.2334424363766376
2014-03-17,55,2014,3,87,1,0.23610558602816642
2014-03-18,65,2014,3,88,1,0.23876696344897025
2014-03-19,62,2014,3,89,1,0.24142654866249988
2014-03-20,59,2014,3,90,1,0.24408432170565875
2014-03-21,67,2014,3,91,1,0.24674026262895252
2014-03-22,69,2014,3,92,1,0.24939435149663894
2014-03-23,54,2014,3,93,1,0.2520465683868774
2014-03-24,58,2014,3,94,1,0.2546968933918786
2014-03-25,57,2014,3,95,1,0.257345306618054
2014-03-26,60,2014,3,96,1,0.25999178818616486
2014-03-27,72,2014,3,97,1,0.26263631823147177
2014-03-28,76,2014,3,98,1,0.2652788769038835
2014-03-29,64,2014,3,99,1,0.2679194443681064
2014-03-30,62,2014,3,100,1,0.27055800080379266
2014-03-31,73,2014,3,101,1,0.27319452640568975
2014-04-01,76,2014,4,102,1,0.27582900138378863
2014-04-02,76,2014,4,103,1,0.27846140596347235
2014-04-03,77,2014,4,104,1,0.28109172038566477
2014-04-04,64,2014,4,105,1,0.2837199249069785
2014-04-05,60,2014,4,106,1,0.28634599979986336
2014-04-06,57,2014,4,107,1,0.2889699253527544
2014-04-07,62,2014,4,108,1,0.29159168187021955
2014-04-08,64,2014,4,109,1,0.294211249673108
2014-04-09,65,2014,4,110,1,0.2968286090986977
2014-04-10,72,2014,4,111,1,0.29944374050084255
2014-04-11,73,2014,4,112,1,0.3020566242501205
2014-04-12,75,2014,4,113,1,0.30466724073398044
2014-04-13,73,2014,4,114,1,0.3072755703568896
2014-04-14,58,2014,4,115,1,0.3098815935404807
2014-04-15,52,2014,4,116,1,0.3124852907236988
2014-04-16,57,2014,4,117,1,0.31508664236294787
2014-04-17,62,2014,4,118,1,0.317685628932238
2014-04-18,69,2014,4,119,1,0.3202822309233318
2014-04-19,66,2014,4,120,1,0.32287642884589046
2014-04-20,68,2014,4,121,1,0.32546820322762066
2014-04-21,74,2014,4,122,1,0.32805753461442005
2014-04-22,75,2014,4,123,1,0.33064440357052394
2014-04-23,73,2014,4,124,1,0.33322879067865074
2014-04-24,78,2014,4,125,1,0.3358106765401478
2014-04-25,76,2014,4,126,1,0.33839004177513726
2014-04-26,77,2014,4,127,1,0.340966867022661
2014-04-27,85,2014,4,128,1,0.34354113294082655
2014-04-28,80,2014,4,129,1,0.34611282020695194
2014-04-29,72,2014,4,130,1,0.3486819095177108
2014-04-30,66,2014,4,131,1,0.3512483815892772
2014-05-01,65,2014,5,132,1,0.35381221715747047
2014-05-02,70,2014,5,133,1,0.3563733969778998
2014-05-03,76,2014,5,134,1,0.3589319018261088
2014-05-04,76,2014,5,135,1,0.36148771249771944
2014-05-05,76,2014,5,136,1,0.36404080980857667
2014-05-06,76,2014,5,137,1,0.3665911745948919
2014-05-07,79,2014,5,138,1,0.3691387877133873
2014-05-08,79,2014,5,139,1,0.37168363004143945
2014-05-09,76,2014,5,140,1,0.37422568247722243
2014-05-10,76,2014,5,141,1,0.3767649259398519
2014-05-11,83,2014,5,142,1,0.3793013413695274
2014-05-12,72,2014,5,143,1,0.38183490972767653
2014-05-13,61,2014,5,144,1,0.38436561199709685
2014-05-14,64,2014,5,145,1,0.38689342918209935
2014-05-15,65,2014,5,146,1,0.3894183423086505
2014-05-16,74,2014,5,147,1,0.39194033242451504
2014-05-17,73,2014,5,148,1,0.39445938059939806
2014-05-18,74,2014,5,149,1,0.3969754679250871
2014-05-19,76,2014,5,150,1,0.39948857551559425
2014-05-20,78,2014,5,151,1,0.40199868450729764
2014-05-21,80,2014,5,152,1,0.40450577605908317
2014-05-22,79,2014,5,153,1,0.407009831352486
2014-05-23,78,2014,5,154,1,0.40951083159183166
2014-05-24,78,2014,5,155,1,0.41200875800437725
2014-05-25,80,2014,5,156,1,0.4145035918404523
2014-05-26,70,2014,5,157,1,0.41699531437359943
2014-05-27,68,2014,5,158,1,0.4194839069007152
2014-05-28,76,2014,5,159,1,0.42196935074219
2014-05-29,78,2014,5,160,1,0.4244516272420487
2014-05-30,81,2014,5,161,1,0.4269307177680907
2014-05-31,82,2014,5,162,1,0.4294066037120293
2014-06-01,80,2014,6,163,1,0.43187926648963193
2014-06-02,83,2014,6,164,1,0.43434868754085926
2014-06-03,83,2014,6,165,1,0.4368148483300047
2014-06-04,83,2014,6,166,1,0.43927773034583373
2014-06-05,83,2014,6,167,1,0.44173731510172215
2014-06-06,83,2014,6,168,1,0.4441935841357956
2014-06-07,83,2014,6,169,1,0.44664651901106794
2014-06-08,83,2014,6,170,1,0.4490961013155793
2014-06-09,77,2014,6,171,1,0.45154231266253464
2014-06-10,78,2014,6,172,1,0.4539851346904416
2014-06-11,80,2014,6,173,1,0.45642454906324836
2014-06-12,80,2014,6,174,1,0.4588605374704814
2014-06-13,79,2014,6,175,1,0.46129308162738264
2014-06-14,92,2014,6,176,1,0.463722163275047
2014-06-15,83,2014,6,177,1,0.4661477641805593
2014-06-16,84,2014,6,178,1,0.46856986613713103
2014-06-17,84,2014,6,179,1,0.47098845096423725
2014-06-18,85,2014,6,180,1,0.4734035005077529
2014-06-19,84,2014,6,181,1,0.475814996640089
2014-06-20,83,2014,6,182,1,0.47822292126032895
2014-06-21,84,2014,6,183,1,0.48062725629436415
2014-06-22,83,2014,6,184,1,0.4830279836950298
2014-06-23,78,2014,6,185,1,0.4854250854422403
2014-06-24,84,2014,6,186,1,0.48781854354312465
2014-06-25,80,2014,6,187,1,0.4902083400321613
2014-06-26,80,2014,6,188,1,0.49259445697131315
2014-06-27,83,2014,6,189,1,0.49497687645016214
2014-06-28,86,2014,6,190,1,0.4973555805860436
2014-06-29,86,2014,6,191,1,0.4997305515241809
2014-06-30,87,2014,6,192,1,0.5021017714378186
2014-07-01,86,2014,7,193,1,0.5044692225283575
2014-07-02,85,2014,7,194,1,0.5068328870254867
2014-07-03,84,2014,7,195,1,0.5091927471873186
2014-07-04,82,2014,7,196,1,0.5115487853005207
2014-07-05,82,2014,7,197,1,0.5139009836804498
2014-07-06,84,2014,7,198,1,0.5162493246712834
2014-07-07,85,2014,7,199,1,0.5185937906461534
2014-07-08,86,2014,7,200,1,0.5209343640072778
2014-07-09,85,2014,7,201,1,0.5232710271860929
2014-07-10,84,2014,7,202,1,0.525603762643385
2014-07-11,83,2014,7,203,1,0.527932552869423
2014-07-12,85,2014,7,204,1,0.530257380384088
2014-07-13,87,2014,7,205,1,0.5325782277370062
2014-07-14,88,2014,7,206,1,0.5348950775076795
2014-07-15,83,2014,7,207,1,0.5372079123056154
2014-07-16,84,2014,7,208,1,0.5395167147704585
2014-07-17,82,2014,7,209,1,0.5418214675721206
2014-07-18,75,2014,7,210,1,0.5441221534109104
2014-07-19,78,2014,7,211,1,0.5464187550176638
2014-07-20,84,2014,7,212,1,0.5487112551538731
2014-07-21,87,2014,7,213,1,0.550999636611817
2014-07-22,86,2014,7,214,1,0.5532838822146887
2014-07-23,86,2014,7,215,1,0.5555639748167264
2014-07-24,84,2014,7,216,1,0.5578398973033405
2014-07-25,86,2014,7,217,1,0.5601116325912429
2014-07-26,87,2014,7,218,1,0.5623791636285749
2014-07-27,87,2014,7,219,1,0.5646424733950354
2014-07-28,87,2014,7,220,1,0.5669015449020084
2014-07-29,87,2014,7,221,1,0.5691563611926911
2014-07-30,86,2014,7,222,1,0.5714069053422203
2014-07-31,87,2014,7,223,1,0.5736531604577998
2014-08-01,82,2014,8,224,1,0.5758951096788277
2014-08-02,79,2014,8,225,1,0.5781327361770225
2014-08-03,83,2014,8,226,1,0.5803660231565494
2014-08-04,83,2014,8,227,1,0.5825949538541461
2014-08-05,85,2014,8,228,1,0.5848195115392493
2014-08-06,88,2014,8,229,1,0.5870396795141201
2014-08-07,90,2014,8,230,1,0.5892554411139688
2014-08-08,89,2014,8,231,1,0.5914667797070804
2014-08-09,89,2014,8,232,1,0.5936736786949399
2014-08-10,89,2014,8,233,1,0.5958761215123557
2014-08-11,89,2014,8,234,1,0.5980740916275851
2014-08-12,87,2014,8,235,1,0.6002675725424578
2014-08-13,83,2014,8,236,1,0.6024565477924997
2014-08-14,84,2014,8,237,1,0.6046410009470569
2014-08-15,88,2014,8,238,1,0.6068209156094186
2014-08-16,91,2014,8,239,1,0.6089962754169406
2014-08-17,90,2014,8,240,1,0.6111670640411674
2014-08-18,90,2014,8,241,1,0.6133332651879557
2014-08-19,87,2014,8,242,1,0.6154948625975961
2014-08-20,90,2014,8,243,1,0.617651840044935
2014-08-21,92,2014,8,244,1,0.619804181339497
2014-08-22,91,2014,8,245,1,0.6219518703256062
2014-08-23,88,2014,8,246,1,0.6240948908825068
2014-08-24,89,2014,8,247,1,0.6262332269244854
2014-08-25,89,2014,8,248,1,0.6283668624009903
2014-08-26,89,2014,8,249,1,0.6304957812967533
2014-08-27,87,2014,8,250,0,0.6326199676319089
2014-08-28,88,2014,8,251,0,0.6347394054621148
2014-08-29,87,2014,8,252,0,0.6368540788786715
2014-08-30,85,2014,8,253,0,0.6389639720086414
2014-08-31,87,2014,8,254,0,0.6410690690149683
2014-09-01,90,2014,9,255,0,0.6431693540965963
2014-09-02,88,2014,9,256,0,0.6452648114885879
2014-09-03,88,2014,9,257,0,0.6473554254622432
2014-09-04,86,2014,9,258,0,0.649441180325217
2014-09-05,87,2014,9,259,0,0.6515220604216373
2014-09-06,86,2014,9,260,0,0.6535980501322224
2014-09-07,82,2014,9,261,0,0.6556691338743984
2014-09-08,84,2014,9,262,0,0.6577352961024162
2014-09-09,86,2014,9,263,0,0.6597965213074676
2014-09-10,88,2014,9,264,0,0.6618527940178025
2014-09-11,89,2014,9,265,0,0.6639040987988447
2014-09-12,81,2014,9,266,0,0.6659504202533076
2014-09-13,63,2014,9,267,0,0.6679917430213101
2014-09-14,71,2014,9,268,0,0.6700280517804915
2014-09-15,79,2014,9,269,0,0.6720593312461269
2014-09-16,84,2014,9,270,0,0.6740855661712416
2014-09-17,83,2014,9,271,0,0.6761067413467257
2014-09-18,81,2014,9,272,0,0.6781228416014485
2014-09-19,80,2014,9,273,0,0.6801338518023718
2014-09-20,82,2014,9,274,0,0.6821397568546641
2014-09-21,81,2014,9,275,0,0.6841405417018135
2014-09-22,81,2014,9,276,0,0.6861361913257407
2014-09-23,76,2014,9,277,0,0.688126690746912
2014-09-24,72,2014,9,278,0,0.6901120250244518
2014-09-25,73,2014,9,279,0,0.6920921792562543
2014-09-26,76,2014,9,280,0,0.6940671385790956
2014-09-27,74,2014,9,281,0,0.6960368881687455
2014-09-28,77,2014,9,282,0,0.6980014132400785
2014-09-29,78,2014,9,283,0,0.6999606990471843
2014-09-30,78,2014,9,284,0,0.7019147308834798
2014-10-01,84,2014,10,285,0,0.7038634940818181
2014-10-02,84,2014,10,286,0,0.7058069740145997
2014-10-03,75,2014,10,287,0,0.7077451560938813
2014-10-04,70,2014,10,288,0,0.7096780257714862
2014-10-05,75,2014,10,289,0,0.7116055685391126
2014-10-06,81,2014,10,290,0,0.7135277699284436
2014-10-07,83,2014,10,291,0,0.7154446155112547
2014-10-08,82,2014,10,292,0,0.7173560908995228
2014-10-09,84,2014,10,293,0,0.7192621817455338
2014-10-10,84,2014,10,294,0,0.7211628737419908
2014-10-11,69,2014,10,295,0,0.7230581526221209
2014-10-12,69,2014,10,296,0,0.7249480041597827
2014-10-13,69,2014,10,297,0,0.7268324141695728
2014-10-14,66,2014,10,298,0,0.7287113685069326
2014-10-15,72,2014,10,299,0,0.7305848530682542
2014-10-16,72,2014,10,300,0,0.7324528537909863
2014-10-17,74,2014,10,301,0,0.73431535665374
2014-10-18,76,2014,10,302,0,0.7361723476763935
2014-10-19,74,2014,10,303,0,0.7380238129201978
2014-10-20,73,2014,10,304,0,0.7398697384878806
2014-10-21,71,2014,10,305,0,0.7417101105237511
2014-10-22,72,2014,10,306,0,0.7435449152138038
2014-10-23,75,2014,10,307,0,0.7453741387858223
2014-10-24,73,2014,10,308,0,0.7471977675094822
2014-10-25,75,2014,10,309,0,0.7490157876964552
2014-10-26,74,2014,10,310,0,0.7508281857005106
2014-10-27,74,2014,10,311,0,0.7526349479176189
2014-10-28,75,2014,10,312,0,0.7544360607860527
2014-10-29,73,2014,10,313,0,0.7562315107864898
2014-10-30,73,2014,10,314,0,0.7580212844421134
2014-10-31,66,2014,10,315,0,0.7598053683187144
2014-11-01,58,2014,11,316,0,0.7615837490247914
2014-11-02,62,2014,11,317,0,0.7633564132116517
2014-11-03,68,2014,11,318,0,0.7651233475735113
2014-11-04,67,2014,11,319,0,0.7668845388475947
2014-11-05,57,2014,11,320,0,0.7686399738142345
2014-11-06,59,2014,11,321,0,0.7703896392969712
2014-11-07,60,2014,11,322,0,0.7721335221626509
2014-11-08,62,2014,11,323,0,0.7738716093215248
2014-11-09,61,2014,11,324,0,0.7756038877273475
2014-11-10,63,2014,11,325,0,0.7773303443774742
2014-11-11,54,2014,11,326,0,0.7790509663129592
2014-11-12,44,2014,11,327,0,0.7807657406186524
2014-11-13,36,2014,11,328,0,0.7824746544232967
2014-11-14,38,2014,11,329,0,0.7841776948996244
2014-11-15,44,2014,11,330,0,0.7858748492644535
2014-11-16,42,2014,11,331,0,0.7875661047787841
2014-11-17,42,2014,11,332,0,0.7892514487478929
2014-11-18,43,2014,11,333,0,0.7909308685214298
2014-11-19,51,2014,11,334,0,0.7926043514935122
2014-11-20,57,2014,11,335,0,0.7942718851028194
2014-11-21,68,2014,11,336,0,0.7959334568326875
2014-11-22,63,2014,11,337,0,0.7975890542112029
2014-11-23,67,2014,11,338,0,0.7992386648112959
2014-11-24,53,2014,11,339,0,0.8008822762508344
2014-11-25,53,2014,11,340,0,0.8025198761927164
2014-11-26,60,2014,11,341,0,0.8041514523449627
2014-11-27,53,2014,11,342,0,0.8057769924608094
2014-11-28,57,2014,11,343,0,0.8073964843387994
2014-11-29,65,2014,11,344,0,0.8090099158228746
2014-11-30,72,2014,11,345,0,0.8106172748024666
2014-12-01,54,2014,12,346,0,0.8122185492125877
2014-12-02,45,2014,12,347,0,0.8138137270339217
2014-12-03,54,2014,12,348,0,0.815402796292914
2014-12-04,62,2014,12,349,0,0.8169857450618612
2014-12-05,69,2014,12,350,0,0.818562561459001
2014-12-06,62,2014,12,351,0,0.8201332336486015
2014-12-07,54,2014,12,352,0,0.8216977498410493
2014-12-08,58,2014,12,353,0,0.823256098292939
2014-12-09,56,2014,12,354,0,0.8248082673071605
2014-12-10,57,2014,12,355,0,0.8263542452329874
2014-12-11,62,2014,12,356,0,0.8278940204661639
2014-12-12,65,2014,12,357,0,0.8294275814489923
2014-12-13,65,2014,12,358,0,0.8309549166704199
2014-12-14,68,2014,12,359,0,0.8324760146661249
2014-12-15,63,2014,12,360,0,0.8339908640186026
2014-12-16,55,2014,12,361,0,0.8354994533572515
2014-12-17,51,2014,12,362,0,0.8370017713584581
2014-12-18,55,2014,12,363,0,0.8384978067456823
2014-12-19,53,2014,12,364,0,0.8399875482895418
2014-12-20,52,2014,12,365,0,0.8414709848078965
